file,num frames (at 24fps)
81_16,3
82_18,3
82_01,3
76_07,5
103_01,5
93_01,5
140_05,6
78_11,10
141_01,15
83_11,20
143_01,21
122_11,20
78_12,20
141_02,23
78_08,23
78_06,22
126_13,24
104_48,25
16_48,26
16_49,26
09_08,26
09_03,26
16_50,27
79_11,27
09_10,27
09_02,27
16_45,28
16_46,28
105_06,28
128_04,28
91_06,28
108_12,28
16_54,28
78_10,29
35_26,28
09_07,28
09_04,28
127_08,28
16_53,29
78_07,29
09_06,29
09_05,29
16_39,30
09_01,30
127_07,30
104_37,31
78_04,31
78_15,31
78_09,31
35_24,31
88_05,30
09_09,31
127_14,31
108_13,32
137_25,32
88_07,32
16_41,33
35_19,33
16_35,33
128_03,33
49_05,33
35_20,33
35_23,33
35_21,33
127_15,33
16_38,34
128_02,34
74_08,34
78_05,34
84_08,34
35_17,34
35_22,34
35_25,34
09_11,34
127_10,34
16_56,34
128_09,35
78_01,34
78_29,35
78_14,35
108_14,36
16_52,35
132_51,35
136_19,36
23_25,36
78_13,35
78_03,35
78_19,36
22_25,36
35_18,36
127_06,35
02_03,35
75_11,36
16_51,36
132_38,37
78_17,36
127_12,36
90_11,37
108_05,37
108_04,37
16_55,37
16_37,37
23_22,37
22_22,37
127_13,38
108_06,38
16_36,38
127_38,39
134_04,39
16_40,39
78_16,40
141_22,40
104_04,40
128_06,40
74_09,40
84_09,40
127_11,41
127_09,40
88_01,41
127_34,41
134_09,41
143_02,42
16_42,42
104_15,42
127_33,42
118_31,42
75_03,42
16_43,43
128_05,42
127_29,42
16_44,44
23_24,43
23_23,44
20_08,43
78_18,43
78_32,43
107_13,44
21_08,43
22_24,43
22_23,44
87_04,44
127_36,44
78_35,45
127_28,44
108_07,45
108_08,46
105_43,46
23_08,46
78_21,46
22_08,46
91_43,46
141_03,47
141_05,47
108_17,47
18_09,47
19_09,47
20_02,46
20_11,47
20_05,47
78_33,46
78_20,47
21_05,47
21_02,46
21_11,47
88_06,47
127_25,47
141_09,47
89_02,48
103_07,48
93_07,48
143_03,48
108_10,48
16_08,48
127_30,49
127_35,49
75_02,48
108_11,49
16_27,49
20_07,49
21_07,49
108_18,50
20_12,50
20_04,50
78_24,50
21_12,50
21_04,50
87_03,50
127_26,50
108_09,51
104_54,50
49_04,51
127_27,50
124_10,50
141_23,52
108_19,52
107_12,52
85_09,51
127_01,51
141_24,53
127_16,52
134_08,53
134_15,52
134_02,53
07_12,53
16_30,54
16_57,54
132_17,54
74_02,54
84_02,54
141_21,55
16_26,54
16_28,55
132_19,55
111_15,54
89_03,55
20_03,55
21_03,55
08_10,56
75_10,56
108_20,56
113_11,56
78_02,56
08_01,56
16_29,57
16_25,57
08_08,57
16_33,58
18_07,59
19_07,59
111_25,59
20_06,58
21_06,58
135_08,59
88_08,58
75_04,59
16_05,60
78_27,60
08_09,59
08_06,60
141_07,60
141_16,60
16_24,60
16_23,60
104_53,60
08_05,60
134_06,60
02_02,60
75_05,60
18_02,61
18_01,61
19_01,61
19_02,61
23_12,61
23_07,61
74_12,61
84_12,61
22_07,61
22_12,61
08_07,61
134_07,61
06_09,61
07_10,61
75_18,61
16_22,62
111_40,62
78_34,62
90_09,62
07_09,62
16_21,63
105_59,63
74_07,63
84_07,63
08_02,62
91_59,63
141_34,63
105_37,64
104_08,63
138_46,64
74_04,64
84_04,64
91_37,64
07_11,64
07_01,64
139_11,65
13_40,64
77_11,65
16_01,65
105_46,65
111_37,65
74_05,65
84_05,65
134_05,65
91_46,65
114_01,65
75_17,65
104_16,66
128_01,66
138_12,66
74_06,66
78_26,66
84_06,66
127_32,66
141_08,67
18_14,67
128_08,67
19_14,67
79_07,66
127_03,67
07_02,66
13_32,68
104_10,67
74_10,68
84_10,68
143_05,68
105_44,68
104_06,68
127_24,68
91_44,68
90_08,68
69_02,69
16_58,69
132_20,69
87_02,69
127_37,69
134_10,69
134_11,69
02_01,69
06_08,69
75_16,69
16_34,70
128_07,70
74_11,70
84_11,70
13_39,71
104_09,70
39_08,71
38_01,71
127_23,70
141_28,72
108_15,72
108_16,71
132_21,71
78_25,72
88_03,71
127_21,72
08_03,71
115_06,72
138_25,72
113_27,72
35_07,73
35_01,72
127_20,73
127_22,72
134_01,72
10_03,73
83_02,73
83_58,73
125_07,73
143_33,73
108_28,73
105_61,73
122_58,73
122_02,73
63_08,73
64_08,73
91_61,73
07_08,73
03_02,74
141_13,74
105_60,74
104_56,74
115_10,74
39_07,74
39_06,74
63_19,74
64_19,74
134_12,74
91_60,74
69_31,75
143_30,75
132_22,75
13_41,74
105_45,75
138_05,75
107_06,74
91_45,75
75_09,75
23_20,76
63_07,76
64_07,76
22_20,76
88_09,76
08_11,76
75_13,75
16_04,77
128_11,76
39_01,76
39_13,76
07_07,76
75_01,76
104_57,77
115_04,77
35_09,77
127_17,77
69_32,78
143_08,78
141_18,78
104_01,78
138_22,78
138_07,78
138_18,78
63_05,78
64_05,78
35_11,78
127_05,78
06_05,78
69_30,78
69_29,79
23_21,78
39_10,79
22_21,78
35_32,79
143_06,79
138_21,80
138_55,80
74_03,80
39_09,80
84_03,80
127_18,79
90_18,79
06_04,80
141_26,80
13_42,81
115_09,80
115_02,81
138_06,80
113_12,80
39_14,80
39_05,81
39_02,81
35_12,80
134_03,80
83_65,81
83_06,81
69_33,81
122_65,81
122_06,81
138_08,81
103_06,81
82_12,81
93_06,81
06_06,81
83_60,82
16_06,82
18_04,82
18_06,82
19_06,82
19_04,82
122_60,82
79_28,82
39_03,82
35_02,82
35_15,82
83_57,82
16_19,83
16_03,83
132_33,83
122_57,82
133_25,83
39_04,83
63_04,83
64_04,83
35_30,83
35_14,83
16_47,84
13_11,84
115_07,84
138_15,83
63_15,84
64_15,84
82_13,83
35_34,84
07_03,84
83_54,85
108_27,84
122_54,85
138_14,85
35_28,84
38_02,85
76_04,84
07_06,84
83_07,85
69_27,85
143_31,85
16_07,85
16_31,85
104_12,85
43_01,85
122_07,85
111_02,85
35_33,85
35_31,85
69_24,86
69_26,86
69_04,86
132_18,86
13_19,86
128_10,86
138_09,86
138_16,86
39_12,86
35_03,86
35_05,86
83_14,86
69_03,87
03_01,87
122_14,86
23_16,87
138_13,87
111_16,87
107_05,87
22_16,87
35_10,87
10_05,88
05_03,87
107_04,88
32_02,87
35_04,87
13_13,88
105_48,89
18_05,88
19_05,88
138_10,88
138_17,89
74_15,88
63_13,88
63_21,88
64_21,88
64_13,88
84_15,88
35_06,88
127_19,89
91_48,89
16_12,89
16_13,89
79_08,89
138_11,89
103_03,89
63_03,89
64_03,89
107_14,89
35_16,89
93_03,89
134_13,89
83_48,90
105_39,90
122_48,90
74_14,90
78_28,90
63_01,90
64_01,90
84_14,90
127_04,90
91_39,90
75_14,90
83_09,91
115_03,91
122_09,91
138_20,91
111_10,90
63_09,91
64_09,91
07_04,90
83_49,92
69_53,91
69_05,91
45_01,92
122_49,92
35_13,91
35_08,92
105_38,92
138_23,92
138_19,93
91_38,92
83_08,93
69_25,93
69_28,93
108_22,93
16_10,93
122_08,93
111_30,93
74_01,93
84_01,93
75_12,93
83_04,94
83_18,94
16_02,94
105_55,94
18_13,94
104_17,94
19_13,94
122_04,94
122_18,94
88_10,94
91_55,94
83_41,95
69_01,94
16_15,95
105_47,94
105_40,94
115_01,94
122_41,95
23_02,95
133_18,94
49_07,95
22_02,95
91_47,94
91_40,94
83_62,95
69_55,96
16_14,96
122_62,95
63_18,96
64_18,96
134_14,95
83_10,96
104_29,97
122_10,96
23_19,97
22_19,97
118_09,97
06_14,96
105_51,97
105_49,97
49_06,97
32_01,97
08_04,97
02_04,97
91_49,97
91_51,97
83_05,98
115_08,98
122_05,98
113_03,98
74_19,98
84_19,98
104_05,98
74_18,99
84_18,99
83_45,100
108_21,100
16_09,100
105_58,99
122_45,100
23_15,100
74_16,99
63_02,99
64_02,99
84_16,99
22_15,100
91_58,99
06_01,99
75_20,100
69_22,100
69_54,100
105_56,101
79_91,100
35_29,100
118_03,100
91_56,101
83_61,101
83_46,101
83_56,101
16_20,101
105_41,101
104_55,101
81_12,101
122_46,101
122_56,101
122_61,101
23_06,101
138_24,101
63_12,101
64_12,101
22_06,101
91_41,101
139_07,102
83_12,102
83_52,102
83_13,102
141_10,102
122_13,102
122_12,102
122_52,102
133_16,102
103_04,102
77_07,102
93_04,102
139_05,103
83_19,102
83_16,103
37_01,103
16_16,103
105_52,102
122_16,103
122_19,102
77_05,103
87_05,103
91_52,102
107_03,103
107_07,104
127_31,103
76_11,103
14_37,103
90_05,103
83_21,104
16_17,104
16_18,105
132_34,104
122_21,104
79_36,104
23_10,104
23_04,105
20_10,104
78_23,104
63_28,104
64_28,104
21_10,104
22_04,105
22_10,104
07_05,104
83_20,105
83_15,105
83_26,105
83_17,105
12_01,105
122_26,105
122_15,105
122_17,105
122_20,105
23_05,105
74_17,105
49_13,105
63_23,105
64_23,105
84_17,105
22_05,105
118_10,105
83_50,106
69_50,106
122_50,106
05_16,106
63_22,106
64_22,106
06_03,106
83_24,107
83_40,107
108_24,107
55_04,107
122_40,107
122_24,107
113_02,106
63_06,106
64_06,106
107_01,107
16_11,107
63_17,107
64_17,107
83_42,109
83_53,108
143_42,108
104_11,108
122_53,108
122_42,109
23_09,108
23_18,108
05_15,109
22_09,108
22_18,108
83_23,109
83_25,109
69_52,109
81_02,109
122_25,109
122_23,109
79_38,109
23_11,109
111_18,109
22_11,109
118_06,109
69_20,110
69_63,110
143_09,110
141_04,110
111_29,110
103_05,110
93_05,110
06_15,110
10_04,110
69_64,111
143_37,111
104_13,111
26_11,110
141_27,112
108_26,111
132_25,112
105_53,112
91_53,112
36_01,112
69_23,113
143_07,112
105_42,113
79_96,112
103_08,112
63_14,112
64_14,112
93_08,112
118_20,112
91_42,113
141_17,113
111_17,113
63_26,113
63_10,113
64_10,113
64_26,113
82_10,113
62_18,114
12_03,114
141_12,114
104_28,114
10_06,115
111_11,115
63_27,114
64_27,114
107_10,114
143_10,116
74_20,116
49_08,116
84_20,116
06_07,116
83_64,116
141_14,116
16_32,117
122_64,116
79_31,116
133_17,116
63_29,116
63_24,116
64_24,116
64_29,116
69_66,117
143_13,117
79_33,117
113_07,117
118_29,117
115_05,118
79_01,118
63_20,118
64_20,118
118_25,118
10_02,119
83_51,119
143_12,119
18_03,119
19_03,119
122_51,119
79_06,119
05_11,119
118_18,119
63_11,119
64_11,119
83_43,120
11_01,120
122_43,120
05_01,120
107_11,121
83_59,121
136_21,121
122_59,121
79_25,121
79_37,121
69_21,122
78_22,122
90_17,122
143_16,123
108_25,123
118_19,123
69_57,124
141_25,123
63_25,124
63_30,124
64_25,124
64_30,124
87_01,124
46_01,124
49_14,124
83_47,125
122_47,125
63_16,125
64_16,125
90_06,125
69_51,126
62_16,126
123_11,126
138_49,126
107_09,126
73_11,126
70_11,126
69_61,127
143_17,127
138_48,127
83_01,127
69_67,128
143_26,128
122_01,127
132_26,128
79_55,129
79_92,128
118_15,129
143_28,129
132_32,129
81_13,129
05_14,129
118_08,129
124_01,129
69_60,130
118_04,130
118_17,130
118_22,130
139_26,131
143_20,131
141_06,131
49_01,131
20_09,131
77_26,131
21_09,131
118_26,131
139_16,131
69_62,132
79_65,131
77_16,131
118_23,131
118_27,131
83_68,133
62_19,132
143_11,132
143_25,132
122_68,133
138_45,133
90_36,132
80_03,133
139_25,133
83_44,133
108_23,133
105_50,133
122_44,133
79_13,133
77_25,133
118_16,133
91_50,133
69_65,134
83_66,135
83_03,134
141_31,135
104_18,135
122_66,135
122_03,134
83_67,136
62_14,135
12_02,135
123_13,135
122_67,136
76_06,136
73_13,135
70_13,135
62_15,137
105_54,136
79_29,136
138_03,137
91_54,136
79_86,137
138_47,137
118_13,137
83_63,138
141_11,138
122_63,138
107_02,138
118_02,138
139_10,139
131_07,139
132_42,139
79_19,139
113_25,138
77_10,139
118_11,139
90_22,139
80_56,139
82_11,140
118_07,140
